0,Secounds,Amps,Volt
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,12.9
0,9,0,12.9
0,10,0,12.9
0,11,0,12.9
0,12,0,12.9
0,13,0,12.9
0,14,0,12.9
0,15,0,12.9
0,16,0,12.9
0,17,0,12.9
0,18,0,12.9
0,19,0,12.9
0,20,0,12.9
0,21,0,12.9
0,22,0,12.9
0,23,0,12.9
0,24,0,12.9
0,25,0,12.9
0,26,0,12.9
0,27,0,12.9
0,28,0,13
0,29,0,12.9
0,30,0,12.9
0,31,0,13
0,31,19.01,13
0,32,16.75,12.5
0,33,16.69,12.4
0,34,16.64,12.4
0,35,16.59,12.3
0,36,16.55,12.3
0,37,16.52,12.3
0,38,16.49,12.3
0,39,16.47,12.3
0,40,16.45,12.2
0,41,16.44,12.2
0,42,16.42,12.2
0,43,16.41,12.2
0,44,16.39,12.2
0,44,16.38,12.2
0,45,16.37,12.2
0,46,16.36,12.2
0,47,16.34,12.2
0,48,16.33,12.2
0,49,16.33,12.2
0,50,16.32,12.2
0,51,16.31,12.2
0,52,16.3,12.2
0,53,16.3,12.2
0,54,16.28,12.2
0,55,16.27,12.2
0,56,16.25,12.2
0,57,16.25,12.2
0,58,16.25,12.2
0,59,16.25,12.2
0,60,16.24,12.2
0,61,16.24,12.2
0,62,16.24,12.2
0,63,16.24,12.2
0,64,16.23,12.2
0,65,16.23,12.2
0,66,16.23,12.2
0,67,16.22,12.2
0,68,16.22,12.2
0,69,16.22,12.2
0,70,16.21,12.2
0,71,16.21,12.2
0,72,16.21,12.2
0,73,16.2,12.2
0,74,16.2,12.2
0,75,16.2,12.2
0,76,16.19,12.2
0,77,16.19,12.2
0,78,16.18,12.2
0,79,16.18,12.2
0,80,16.18,12.2
0,81,16.18,12.2
0,82,16.17,12.2
0,83,16.17,12.2
0,84,16.17,12.2
0,85,16.17,12.2
0,86,16.16,12.2
0,87,16.16,12.2
0,88,16.16,12.2
0,89,16.16,12.2
0,90,16.16,12.2
0,91,16.15,12.2
0,92,16.15,12.2
0,93,16.15,12.2
0,94,16.15,12.2
0,94,16.14,12.2
0,95,16.14,12.2
0,96,16.14,12.2
0,97,16.13,12.2
0,98,16.13,12.2
0,99,16.13,12.2
0,100,16.13,12.2
0,101,16.12,12.2
0,102,16.12,12.2
0,103,16.12,12.2
0,104,16.11,12.2
0,105,16.11,12.2
0,106,16.11,12.2
0,107,16.11,12.2
0,107,16.11,12.2
0,108,16.1,12.2
0,109,16.1,12.2
0,110,16.1,12.2
0,111,16.09,12.2
0,112,16.09,12.2
0,113,16.09,12.2
0,114,16.09,12.2
0,115,16.09,12.2
0,116,16.09,12.2
0,117,16.09,12.2
0,118,16.09,12.2
0,119,16.08,12.2
0,120,16.08,12.2
0,121,16.08,12.2
0,122,16.08,12.2
0,123,16.08,12.2
0,124,16.07,12.2
0,125,16.07,12.2
0,126,16.07,12.2
0,127,16.07,12.2
0,128,16.07,12.2
0,129,16.07,12.2
0,130,16.06,12.2
0,131,16.06,12.2
0,132,16.06,12.2
0,133,16.06,12.2
0,134,16.06,12.2
0,135,16.06,12.2
0,136,16.05,12.2
0,137,16.05,12.2
0,138,16.05,12.2
0,139,16.05,12.2
0,140,16.05,12.2
0,141,16.05,12.2
0,142,16.05,12.2
0,143,16.04,12.2
0,144,16.04,12.2
0,145,16.04,12.2
0,146,16.04,12.2
0,147,16.04,12.2
0,148,16.03,12.2
0,149,16.03,12.2
0,150,16.03,12.2
0,151,16.03,12.2
0,152,16.03,12.2
0,153,16.03,12.2
0,154,16.03,12.2
0,155,16.03,12.2
0,156,16.03,12.2
0,157,16.02,12.2
0,158,16.02,12.2
0,159,16.02,12.2
0,160,16.02,12.2
0,161,16.01,12.2
0,162,16.01,12.2
0,163,16.01,12.2
0,164,16.01,12.2
0,165,16.01,12.2
0,166,16.01,12.2
0,167,16.01,12.2
0,168,16.01,12.2
0,169,16.01,12.2
0,170,16,12.2
0,171,16,12.2
0,172,16,12.2
0,173,16,12.2
0,174,16,12.2
0,175,16,12.2
0,176,16,12.2
0,177,16,12.2
0,178,16,12.2
0,179,16,12.2
0,180,15.99,12.2
0,181,15.99,12.2
0,182,15.99,12.2
0,183,15.99,12.2
0,183,15.98,12.2
0,184,15.98,12.2
0,185,15.98,12.2
0,186,15.98,12.2
0,187,15.98,12.2
0,188,15.98,12.2
0,189,15.98,12.2
0,190,15.97,12.2
0,191,15.98,12.2
0,192,15.97,12.2
0,193,15.97,12.2
0,194,15.97,12.2
0,195,15.97,12.2
0,196,15.97,12.2
0,196,15.97,12.2
0,197,15.93,12.2
0,198,15.88,12.2
0,199,15.93,12.2
0,200,15.93,12.2
0,201,15.93,12.2
0,202,15.93,12.2
0,203,15.93,12.2
0,204,15.93,12.1
0,205,15.93,12.2
0,206,15.93,12.2
0,207,15.94,12.2
0,208,15.94,12.2
0,209,15.93,12.2
0,210,15.93,12.2
0,211,15.93,12.2
0,212,15.93,12.1
0,213,15.93,12.2
0,214,15.93,12.2
0,215,15.93,12.2
0,216,15.93,12.2
0,217,15.93,12.1
0,218,15.93,12.2
0,219,15.93,12.2
0,220,15.93,12.2
0,221,15.93,12.1
0,222,15.93,12.1
0,222,15.92,12.1
0,223,15.92,12.1
0,224,15.92,12.1
0,225,15.92,12.1
0,226,15.92,12.1
0,227,15.92,12.1
0,228,15.92,12.1
0,229,15.92,12.1
0,230,15.92,12.1
0,231,15.92,12.1
0,232,15.92,12.1
0,233,15.92,12.1
0,234,15.92,12.1
0,235,15.92,12.1
0,236,15.92,12.1
0,237,15.92,12.1
0,238,15.91,12.1
0,239,15.91,12.1
0,240,15.91,12.1
0,241,15.91,12.1
0,242,15.91,12.1
0,243,15.91,12.1
0,244,15.91,12.1
0,245,15.91,12.1
0,246,15.91,12.1
0,247,15.91,12.1
0,247,15.9,12.1
0,248,15.91,12.1
0,249,15.91,12.1
0,250,15.9,12.1
0,251,15.91,12.1
0,252,15.91,12.1
0,253,15.9,12.1
0,254,15.9,12.1
0,255,15.9,12.1
0,256,15.9,12.1
0,257,15.88,12.1
0,258,15.89,12.1
0,259,15.89,12.1
0,260,15.89,12.1
0,261,15.89,12.1
0,262,15.89,12.1
0,263,15.89,12.1
0,264,15.89,12.1
0,265,15.89,12.1
0,266,15.89,12.1
0,267,15.88,12.1
0,268,15.88,12.1
0,269,15.89,12.1
0,270,15.88,12.1
0,271,15.88,12.1
0,272,15.88,12.1
0,273,15.88,12.1
0,274,15.88,12.1
0,275,15.88,12.1
0,276,15.87,12.1
0,277,15.87,12.1
0,278,15.87,12.1
0,279,15.87,12.1
0,280,15.88,12.1
0,281,15.87,12.1
0,282,15.87,12.1
0,283,15.86,12.1
0,284,15.87,12.1
0,285,15.88,12.1
0,286,15.88,12.1
0,287,15.88,12.1
0,288,15.88,12.1
0,289,15.88,12.1
0,290,15.88,12.1
0,291,15.88,12.1
0,292,15.87,12.1
0,293,15.87,12.1
0,294,15.88,12.1
0,295,15.88,12.1
0,296,15.88,12.1
0,297,15.88,12.1
0,298,15.88,12.1
0,299,15.88,12.1
0,300,15.88,12.1
0,301,15.88,12.1
0,302,15.88,12.1
0,303,15.88,12.1
0,304,15.87,12.1
0,305,15.87,12.1
0,306,15.87,12.1
0,307,15.87,12.1
0,308,15.87,12.1
0,309,15.87,12.1
0,310,15.87,12.1
0,311,15.87,12.1
0,312,15.87,12.1
0,313,15.87,12.1
0,314,15.87,12.1
0,315,15.87,12.1
0,316,15.87,12.1
0,317,15.87,12.1
